hierarchy;id_category;prazo
100008 - Health/Others;100008;7 - 30
100021 - Fashion Accessories/Rings;100021;7 - 30
100022 - Fashion Accessories/Earrings;100022;7 - 30
100023 - Fashion Accessories/Scarves & Shawls;100023;7 - 30
100024 - Fashion Accessories/Gloves;100024;7 - 30
100026 - Fashion Accessories/Bracelets & Bangles;100026;7 - 30
100027 - Fashion Accessories/Anklets;100027;7 - 30
100028 - Fashion Accessories/Hats & Caps;100028;7 - 30
100029 - Fashion Accessories/Necklaces;100029;7 - 30
100032 - Fashion Accessories/Belts;100032;7 - 30
100033 - Fashion Accessories/Neckties, Bow Ties & Cravats;100033;7 - 30
100035 - Fashion Accessories/Accessories Sets & Packages;100035;7 - 30
100036 - Fashion Accessories/Others;100036;7 - 30
100043 - Home Appliances/Batteries;100043;7 - 30
100045 - Home Appliances/Remote Controls;100045;7 - 30
100046 - Home Appliances/Others;100046;7 - 30
100047 - Men Clothes/Jeans;100047;7 - 30
100049 - Men Clothes/Sweaters & Cardigans;100049;7 - 30
100053 - Men Clothes/Shorts;100053;7 - 30
100056 - Men Clothes/Sleepwear;100056;7 - 30
100057 - Men Clothes/Sets;100057;7 - 30
100059 - Men Clothes/Costumes;100059;7 - 30
100060 - Men Clothes/Occupational Attire;100060;7 - 30
100061 - Men Clothes/Others;100061;7 - 30
100062 - Men Clothes/Socks;100062;7 - 30
100064 - Men Shoes/Sneakers;100064;7 - 30
100065 - Men Shoes/Slip Ons & Mules;100065;7 - 30
100066 - Men Shoes/Loafers & Boat Shoes;100066;7 - 30
100067 - Men Shoes/Oxfords & Lace-Ups;100067;7 - 30
100070 - Men Shoes/Others;100070;7 - 30
100072 - Mobile & Gadgets/Tablets;100072;7 - 30
100073 - Mobile & Gadgets/Mobile Phones;100073;7 - 30
100076 - Mobile & Gadgets/Walkie Talkies;100076;7 - 30
100077 - Mobile & Gadgets/Others;100077;7 - 30
100085 - Travel & Luggage/Luggage;100085;7 - 30
100088 - Travel & Luggage/Others;100088;7 - 30
100089 - Women Bags/Backpacks;100089;7 - 30
100091 - Women Bags/Clutches & Wristlets;100091;7 - 30
100092 - Women Bags/Waist Bags & Chest Bags;100092;7 - 30
100093 - Women Bags/Tote Bags;100093;7 - 30
100094 - Women Bags/Top-handle Bags;100094;7 - 30
100095 - Women Bags/Crossbody & Shoulder Bags;100095;7 - 30
100098 - Women Bags/Others;100098;7 - 30
100102 - Women Clothes/Skirts;100102;7 - 30
100103 - Women Clothes/Jeans;100103;7 - 30
100104 - Women Clothes/Dresses;100104;7 - 30
100105 - Women Clothes/Wedding Dresses;100105;7 - 30
100108 - Women Clothes/Sweaters & Cardigans;100108;7 - 30
100115 - Women Clothes/Costumes;100115;7 - 30
100116 - Women Clothes/Others;100116;7 - 30
100557 - Women Shoes/Sneakers;100557;7 - 30
100559 - Women Shoes/Heels;100559;7 - 30
100560 - Women Shoes/Wedges;100560;7 - 30
100563 - Women Shoes/Others;100563;7 - 30
100564 - Men Bags/Backpacks;100564;7 - 30
100566 - Men Bags/Tote Bags;100566;7 - 30
100567 - Men Bags/Briefcases;100567;7 - 30
100568 - Men Bags/Clutches;100568;7 - 30
100569 - Men Bags/Waist Bags & Chest Bags;100569;7 - 30
100570 - Men Bags/Crossbody & Shoulder Bags;100570;7 - 30
100572 - Men Bags/Others;100572;7 - 30
100573 - Watches/Women Watches;100573;7 - 30
100574 - Watches/Men Watches;100574;7 - 30
100575 - Watches/Set & Couple Watches;100575;7 - 30
100577 - Watches/Others;100577;7 - 30
