hierarchy;id_category;prazo
22529 - Jóias e Relógios/Acessórios para Relógios/Outros;22529;7 - 30
22531 - Jóias e Relógios/Acessórios para Relógios/Correias e Fechos;22531;7 - 30
22533 - Jóias e Relógios/Acessórios para Relógios/Ferramentas de Relógio;22533;7 - 30
22537 - Jóias e Relógios/Relógios/Relógios Casal;22537;7 - 30
22539 - Roupas Femininas/Blusas, Camisas e Camisetas/Blusa;22539;7 - 30
22540 - Jóias e Relógios/Relógios/Luxo;22540;7 - 30
22541 - Jóias e Relógios/Relógios/Relógios Masculinos;22541;7 - 30
22542 - Jóias e Relógios/Relógios/Outros;22542;7 - 30
22543 - Jóias e Relógios/Relógios/Esportivas;22543;7 - 30
22544 - Jóias e Relógios/Relógios/Relógios Femininos;22544;7 - 30
22545 - Roupas Femininas/Blusas, Camisas e Camisetas/Cropped;22545;7 - 30
22546 - Roupas Femininas/Blusas, Camisas e Camisetas/Camisas Femininas;22546;7 - 30
22547 - Roupas Femininas/Blusas, Camisas e Camisetas/Suéter Feminino;22547;7 - 30
22548 - Roupas Femininas/Blusas, Camisas e Camisetas/Regata Feminina;22548;7 - 30
22549 - Roupas Femininas/Blusas, Camisas e Camisetas/Camisetas Femininas;22549;7 - 30
22550 - Roupas Femininas/Blusas, Camisas e Camisetas/Túnicas;22550;7 - 30
22551 - Roupas Femininas/Blusas, Camisas e Camisetas/Outros;22551;7 - 30
22561 - Roupas Masculinas/Outros/Outros;22561;7 - 30
22565 - Roupas Femininas/Roupas Íntimas e Pijamas/Lingerie;22565;7 - 30
22567 - Roupas Masculinas/Casacos/Blazer;22567;7 - 30
22568 - Roupas Femininas/Roupas Íntimas e Pijamas/Pijamas;22568;7 - 30
22569 - Roupas Masculinas/Casacos/Casaco;22569;7 - 30
22570 - Roupas Masculinas/Casacos/Moletons;22570;7 - 30
22571 - Roupas Masculinas/Casacos/Jaquetas;22571;7 - 30
22574 - Roupas Femininas/Roupas Íntimas e Pijamas/Outras;22574;7 - 30
22575 - Roupas Masculinas/Casacos/Outros;22575;7 - 30
22578 - Roupas Masculinas/Casacos/Colete;22578;7 - 30
22580 - Roupas Masculinas/Calças e Bermudas/Outras;22580;7 - 30
22583 - Roupas Masculinas/Calças e Bermudas/Calças Masculinas;22583;7 - 30
22584 - Roupas Masculinas/Calças e Bermudas/Bermudas;22584;7 - 30
22586 - Roupas Masculinas/Meias/Meias;22586;7 - 30
22879 - Esporte e Lazer/Fitness e Musculação/Rastreador;22879;7 - 30
22590 - Roupas Masculinas/Roupas Esportivas e de Praia/Camisa;22590;7 - 30
22591 - Roupas Masculinas/Roupas Esportivas e de Praia/Outros;22591;7 - 30
22593 - Roupas Masculinas/Roupas Esportivas e de Praia/Roupas de Surf e Natação;22593;7 - 30
24642 - Bebês e Crianças/Fraldas e Penicos/Fraldas;24642;7 - 30
24643 - Bebês e Crianças/Fraldas e Penicos/Trocadores;24643;7 - 30
24644 - Bebês e Crianças/Fraldas e Penicos/Bolsa de Fraldas;24644;7 - 30
24645 - Bebês e Crianças/Fraldas e Penicos/Potties;24645;7 - 30
22598 - Roupas Masculinas/Ternos/Terno;22598;7 - 30
22599 - Bebês e Crianças/Roupas para Bebês/Roupas de Bebê;22599;7 - 30
24648 - Brinquedos e Hobbies/Bonecas e Brinquedos de Pelúcia/Outros;24648;7 - 30
24649 - Brinquedos e Hobbies/Bonecas e Brinquedos de Pelúcia/Bichos de pelúcia;24649;7 - 30
24650 - Brinquedos e Hobbies/Bonecas e Brinquedos de Pelúcia/Bonecas & Acessórios;24650;7 - 30
22603 - Roupas Masculinas/Blusas, Camisas e Camisetas/Outros;22603;7 - 30
24652 - Brinquedos e Hobbies/Brinquedos para Bebês e Crianças Pequenas/Outros;24652;7 - 30
22605 - Esporte e Lazer/Ginástica, Pilates e Yoga/Torcida;22605;7 - 30
24654 - Brinquedos e Hobbies/Brinquedos para Bebês e Crianças Pequenas/Tapete Infantil;24654;7 - 30
22607 - Roupas Masculinas/Blusas, Camisas e Camisetas/Polos;22607;7 - 30
22608 - Bebês e Crianças/Roupas para Bebês/Casaco de Bebê;22608;7 - 30
22609 - Roupas Masculinas/Blusas, Camisas e Camisetas/Camisas Sociais;22609;7 - 30
24658 - Brinquedos e Hobbies/Brinquedos Primeira Infância/Quebra-cabeças;24658;7 - 30
22611 - Esporte e Lazer/Ginástica, Pilates e Yoga/Ginástica;22611;7 - 30
22612 - Bebês e Crianças/Roupas para Bebês/Vestido do Bebê;22612;7 - 30
22613 - Bebês e Crianças/Roupas para Bebês/Luvas e Sapatos de Bebê;22613;7 - 30
22614 - Roupas Masculinas/Blusas, Camisas e Camisetas/Suéter e Cardigan Masculino;22614;7 - 30
22615 - Bebês e Crianças/Roupas para Bebês/Macacão de Bebê;22615;7 - 30
22616 - Bebês e Crianças/Roupas para Bebês/Camisas de Bebê;22616;7 - 30
22617 - Esporte e Lazer/Ginástica, Pilates e Yoga/Pilates e Yoga;22617;7 - 30
24666 - Celulares e Acessórios/Cabos e Carregadores/Carregadores sem Fio;24666;7 - 30
22619 - Roupas Masculinas/Blusas, Camisas e Camisetas/Camisetas;22619;7 - 30
24668 - Celulares e Acessórios/Cabos e Carregadores/Cabos de Iphone;24668;7 - 30
22622 - Roupas Masculinas/Pijamas Masculinas e Cuecas/Pijamas;22622;7 - 30
24671 - Esporte e Lazer/Futebol/Chuteira;24671;7 - 30
24672 - Esporte e Lazer/Futebol/Equipamento de Proteção;24672;7 - 30
22625 - Bebês e Crianças/Roupas para Bebês/Pijama para Bebê;22625;7 - 30
22626 - Bebês e Crianças/Roupas para Bebês/Outras;22626;7 - 30
22627 - Roupas Masculinas/Pijamas Masculinas e Cuecas/Cueca;22627;7 - 30
24676 - Acessórios para Veículos/Carregador Veicular e Suporte de Celular para Carro/Carregador Veicular;24676;7 - 30
22629 - Esporte e Lazer/Badminton/Badminton;22629;7 - 30
22235 - Casa, Cozinha e Decoração/Organização e Armazenamento Doméstico/Prateleiras;22235;7 - 30
24281 - Informática/Acessórios para PC/Hub USB;24281;7 - 30
22637 - Esporte e Lazer/Badminton/Vestuário;22637;7 - 30
22640 - Esporte e Lazer/Badminton/Bolsas de Badminton;22640;7 - 30
22645 - Esporte e Lazer/Badminton/Punho e Cordas de Raquete de Badminton;22645;7 - 30
22649 - Esporte e Lazer/Badminton/Calçados de Badminton;22649;7 - 30
22650 - Esporte e Lazer/Badminton/Petecas;22650;7 - 30
22654 - Esporte e Lazer/Badminton/Raquetes;22654;7 - 30
22655 - Esporte e Lazer/Badminton/Acessórios;22655;7 - 30
22658 - Esporte e Lazer/Ciclismo/Bicicletas;22658;7 - 30
22660 - Esporte e Lazer/Pesca/Ganchos;22660;7 - 30
22662 - Esporte e Lazer/Ciclismo/Vestuário de Ciclismo;22662;7 - 30
22663 - Esporte e Lazer/Ciclismo/Peças e Componentes;22663;7 - 30
22664 - Esporte e Lazer/Ciclismo/Equipamento de Segurança;22664;7 - 30
22665 - Esporte e Lazer/Ciclismo/Outros;22665;7 - 30
22670 - Celulares e Acessórios/Áudio/Fones de ouvido;22670;7 - 30
22671 - Celulares e Acessórios/Áudio/Headphones e Headsets;22671;7 - 30
22673 - Celulares e Acessórios/Áudio/Outros;22673;7 - 30
24722 - Brinquedos e Hobbies/Esportes Infantis e Jogos ao Ar Livre/Lançadores;24722;7 - 30
22676 - Esporte e Lazer/Camping e Trilhas/Camping & Caminhadas;22676;7 - 30
22680 - Celulares e Acessórios/Cabos e Carregadores/Cabos USB;22680;7 - 30
22685 - Esporte e Lazer/Camping e Trilhas/Kit de Primeiros Socorros;22685;7 - 30
22689 - Celulares e Acessórios/Cabos e Carregadores/Carregadores;22689;7 - 30
